,0
t0.8_Jaccard_95pcntCI_2-5pcnt,0.9844299649613357
t0.8_Jaccard_95pcntCI_97-5pcnt,0.9976093578120591
t0.8_pixel_identity_mean,0.9964119349978098
t0.8_pixel_identity_sem,0.0005506441487116809
t0.8_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.8_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.8_localization_error_mean,0.0006842544519040991
t0.8_localization_error_sem,0.00032112124821143145
t0.8_localization_error_95pcntCI_2-5pcnt,4.1692318761074034e-05
t0.8_localization_error_95pcntCI_97-5pcnt,0.0013268165850471242
t0.8_per_image_average_precision_mean,0.9910196613866974
t0.8_per_image_average_precision_sem,0.0032932092202444295
t0.8_per_image_average_precision_95pcntCI_2-5pcnt,0.9844299649613357
t0.8_per_image_average_precision_95pcntCI_97-5pcnt,0.9976093578120591
t0.85_true_positives_mean,42.5
t0.85_true_positives_sem,3.3800260755187144
t0.85_true_positives_95pcntCI_2-5pcnt,35.736583448584646
t0.85_true_positives_95pcntCI_97-5pcnt,49.263416551415354
t0.85_false_positives_mean,0.31666666666666665
t0.85_false_positives_sem,0.12233986805003896
t0.85_false_positives_95pcntCI_2-5pcnt,0.07186515626985066
t0.85_false_positives_95pcntCI_97-5pcnt,0.5614681770634826
t0.85_false_negatives_mean,0.15
t0.85_false_negatives_sem,0.07820370329491788
t0.85_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.85_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.85_IoU_mean,0.9996840361494516
t0.85_IoU_sem,7.895348364378519e-05
t0.85_IoU_95pcntCI_2-5pcnt,0.9995260505936785
t0.85_IoU_95pcntCI_97-5pcnt,0.9998420217052246
t0.85_Jaccard_mean,0.9908952832772446
t0.85_Jaccard_sem,0.003304122668918642
t0.85_Jaccard_95pcntCI_2-5pcnt,0.9842837490915383
t0.85_Jaccard_95pcntCI_97-5pcnt,0.997506817462951
t0.85_pixel_identity_mean,0.9964119349978098
t0.85_pixel_identity_sem,0.0005506441487116809
t0.85_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.85_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.85_localization_error_mean,0.00045968347494550123
t0.85_localization_error_sem,0.00018525169931602525
t0.85_localization_error_95pcntCI_2-5pcnt,8.899568102380964e-05
t0.85_localization_error_95pcntCI_97-5pcnt,0.0008303712688671928
t0.85_per_image_average_precision_mean,0.9908952832772446
t0.85_per_image_average_precision_sem,0.003304122668918642
t0.85_per_image_average_precision_95pcntCI_2-5pcnt,0.9842837490915383
t0.85_per_image_average_precision_95pcntCI_97-5pcnt,0.997506817462951
t0.9_true_positives_mean,42.46666666666667
t0.9_true_positives_sem,3.3750887551976163
t0.9_true_positives_95pcntCI_2-5pcnt,35.71312967038884
t0.9_true_positives_95pcntCI_97-5pcnt,49.2202036629445
t0.9_false_positives_mean,0.35
t0.9_false_positives_sem,0.1231071372083618
t0.9_false_positives_95pcntCI_2-5pcnt,0.10366318756442833
t0.9_false_positives_95pcntCI_97-5pcnt,0.5963368124355717
t0.9_false_negatives_mean,0.15
t0.9_false_negatives_sem,0.07820370329491788
t0.9_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.9_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.9_IoU_mean,0.9997514304438581
t0.9_IoU_sem,6.464181628547555e-05
t0.9_IoU_95pcntCI_2-5pcnt,0.9996220824683069
t0.9_IoU_95pcntCI_97-5pcnt,0.9998807784194093
t0.9_Jaccard_mean,0.9903285228019475
t0.9_Jaccard_sem,0.0033062099397823085
t0.9_Jaccard_95pcntCI_2-5pcnt,0.9837128119968923
t0.9_Jaccard_95pcntCI_97-5pcnt,0.9969442336070027
t0.9_pixel_identity_mean,0.9964119349978098
t0.9_pixel_identity_sem,0.0005506441487116809
t0.9_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.9_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.9_localization_error_mean,0.00044102903875514683
t0.9_localization_error_sem,0.00018546759077692917
t0.9_localization_error_95pcntCI_2-5pcnt,6.990924701824234e-05
t0.9_localization_error_95pcntCI_97-5pcnt,0.0008121488304920514
t0.9_per_image_average_precision_mean,0.9903285228019475
t0.9_per_image_average_precision_sem,0.0033062099397823085
t0.9_per_image_average_precision_95pcntCI_2-5pcnt,0.9837128119968923
t0.9_per_image_average_precision_95pcntCI_97-5pcnt,0.9969442336070027
model_name,230728
